Project,Build, B%,TestBuild, TB%,Test, T%
alluxio,329,1.0551635663887107,0,0.0,1434,4.599101988454137
dubbo,16,0.34144259496372176,36,0.7682458386683738,1227,26.184379001280412
guava,0,0.0,0,0.0,1039,18.62674793832915
async-http-client,0,0.0,0,0.0,827,20.16581321628871
druid,6,0.09316770186335403,0,0.0,751,11.661490683229815
openmrs-core,0,0.0,0,0.0,576,5.0340849501835345
okhttp,0,0.0,0,0.0,520,10.697387368854146
titan,0,0.0,0,0.0,489,11.028416779431664
HanLP,0,0.0,0,0.0,458,30.676490288010715
apache-druid,1,0.00903750564844103,0,0.0,405,3.6601897876186174
jedis,0,0.0,0,0.0,334,18.381948266373143
pinpoint,0,0.0,0,0.0,256,2.1579701593188907
vert.x,0,0.0,0,0.0,184,3.657324587557146
webmagic,0,0.0,0,0.0,167,14.884135472370765
hadoop,1,0.003993769719237989,71,0.28355765006589717,142,0.5671153001317943
closure-compiler,6,0.03526093088857546,1,0.005876821814762576,132,0.7757404795486601
presto,775,4.08088041703965,8,0.04212521720815123,93,0.489705650044758
elastic-job,1,0.0462962962962963,0,0.0,79,3.657407407407407
Activiti,0,0.0,0,0.0,64,0.594906116378509
javaee7-samples,0,0.0,0,0.0,51,3.318152244632401
atmosphere,0,0.0,0,0.0,31,0.5162364696086594
mybatis-3,0,0.0,0,0.0,21,0.5554086220576567
checkstyle,0,0.0,0,0.0,20,0.19342359767891684
storm,62,0.5938697318007663,6,0.05747126436781609,6,0.05747126436781609
aws-sdk-java,1678,58.38552540013918,255,8.872651356993737,5,0.17397355601948505
disconf,0,0.0,0,0.0,4,0.3454231433506045
fastjson,0,0.0,0,0.0,4,0.1035464664768315
zxing,0,0.0,0,0.0,3,0.08370535714285714
HikariCP,0,0.0,0,0.0,3,0.10760401721664276
ansj_seg,0,0.0,0,0.0,3,0.42674253200568996
cucumber-jvm,0,0.0,0,0.0,1,0.019443904335990667
nanohttpd,0,0.0,0,0.0,1,0.1669449081803005
jsoup,0,0.0,0,0.0,0,0.0
